Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,753975,-,Ulaanbaatar,Mongolia,47.93,106.9,0,1313,8,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,3.1.1
Year,Month,Day,Hour,Minute,Temperature,Pressure,Relative Humidity,Wind Speed,Wind Direction
2013,1,1,0,30,-33.800000000000004,866,65.35,3.2,340
2013,1,1,1,30,-31.8,867,55.120000000000005,3.8000000000000003,342
2013,1,1,2,30,-28.900000000000002,867,52.45,5,346
2013,1,1,3,30,-27.200000000000003,868,54.160000000000004,5.800000000000001,348
2013,1,1,4,30,-26.700000000000003,868,55.52,5.9,348
2013,1,1,5,30,-26.700000000000003,868,57.32,5.7,348
2013,1,1,6,30,-26.900000000000002,868,58.61,5.4,348
2013,1,1,7,30,-27.6,869,61.01,4.800000000000001,348
2013,1,1,8,30,-28.900000000000002,870,64.79,4,348
2013,1,1,9,30,-30.400000000000002,870,65.33,3.5,349
2013,1,1,10,30,-31.700000000000003,871,66.46000000000001,3.3000000000000003,350
2013,1,1,11,30,-32.800000000000004,872,66.87,3.1,350
2013,1,1,12,30,-33.6,872,66.71000000000001,3,349
2013,1,1,13,30,-34.300000000000004,873,67.79,2.9000000000000004,348
2013,1,1,14,30,-34.7,873,68.22,2.9000000000000004,347
2013,1,1,15,30,-35.1,873,69.99,2.9000000000000004,345
2013,1,1,16,30,-35.300000000000004,874,71.03,2.9000000000000004,343
2013,1,1,17,30,-35.4,874,71.58,2.9000000000000004,342
2013,1,1,18,30,-35.5,874,72.18,2.9000000000000004,341
2013,1,1,19,30,-35.4,875,71.57000000000001,2.9000000000000004,340
2013,1,1,20,30,-35.4,875,71.87,2.9000000000000004,338
2013,1,1,21,30,-35.2,875,71.02,2.9000000000000004,337
2013,1,1,22,30,-34.9,876,70.13,2.9000000000000004,337
2013,1,1,23,30,-34.800000000000004,876,71.29,2.8000000000000003,337
2013,1,2,0,30,-33.800000000000004,876,66.7,2.7,335
2013,1,2,1,30,-31.700000000000003,877,58.22,2.7,332
2013,1,2,2,30,-28.400000000000002,877,52.51,3.1,328
2013,1,2,3,30,-25.5,878,54.58,3.7,323
2013,1,2,4,30,-24.1,878,57.75,4,320
2013,1,2,5,30,-23.5,878,60.14,3.9000000000000004,319
2013,1,2,6,30,-23.6,878,63.480000000000004,3.5,320
2013,1,2,7,30,-24.5,879,68.54,2.8000000000000003,323
2013,1,2,8,30,-26.1,879,71.17,2.1,326
2013,1,2,9,30,-27.400000000000002,879,70.67,1.6,327
2013,1,2,10,30,-28.200000000000003,879,73.38,1.3,326
2013,1,2,11,30,-28.5,879,74.62,1.1,320
2013,1,2,12,30,-28.400000000000002,879,75.65,0.9,308
2013,1,2,13,30,-28.200000000000003,879,75.35000000000001,0.7000000000000001,291
2013,1,2,14,30,-28.1,878,75.34,0.6000000000000001,270
2013,1,2,15,30,-28.200000000000003,878,76.60000000000001,0.6000000000000001,247
2013,1,2,16,30,-28.400000000000002,878,77.3,0.6000000000000001,228
2013,1,2,17,30,-28.700000000000003,878,77.72,0.8,213
2013,1,2,18,30,-28.900000000000002,878,76.15,0.9,202
2013,1,2,19,30,-29,877,74.59,0.9,196
2013,1,2,20,30,-28.900000000000002,877,73.17,0.9,189
2013,1,2,21,30,-28.8,876,72.46000000000001,0.8,181
2013,1,2,22,30,-28.700000000000003,876,71.91,0.8,173
2013,1,2,23,30,-28.700000000000003,876,70.97,0.8,170
2013,1,3,0,30,-28.200000000000003,875,65.81,1.1,167
2013,1,3,1,30,-26.6,875,55.870000000000005,1.2000000000000002,171
2013,1,3,2,30,-23.8,875,47.27,1.5,176
2013,1,3,3,30,-21.1,874,47.04,1.9000000000000001,184
2013,1,3,4,30,-19.400000000000002,874,48.77,2,195
2013,1,3,5,30,-18.400000000000002,873,51.65,2,207
2013,1,3,6,30,-18.400000000000002,873,52.120000000000005,1.7000000000000002,213
2013,1,3,7,30,-20.3,873,64.19,1.1,216
2013,1,3,8,30,-22.8,873,64.34,1,218
2013,1,3,9,30,-24.700000000000003,872,63.25,1.1,215
2013,1,3,10,30,-25.700000000000003,872,64.6,1.1,215
2013,1,3,11,30,-26.400000000000002,872,65.62,1.2000000000000002,217
2013,1,3,12,30,-27,872,67.04,1.2000000000000002,222
2013,1,3,13,30,-27.400000000000002,871,68.33,1.1,229
2013,1,3,14,30,-27.700000000000003,871,70.19,1.1,237
2013,1,3,15,30,-28.200000000000003,871,73.97,1.2000000000000002,245
2013,1,3,16,30,-28.6,870,77.88,1.2000000000000002,253
2013,1,3,17,30,-28.8,870,81.56,1.2000000000000002,260
2013,1,3,18,30,-29,870,85.2,1.2000000000000002,268
2013,1,3,19,30,-29.1,869,86.45,1.2000000000000002,273
2013,1,3,20,30,-29.200000000000003,869,85.2,1.1,273
2013,1,3,21,30,-29.3,869,81.66,0.8,269
2013,1,3,22,30,-29.400000000000002,868,78.5,0.6000000000000001,259
2013,1,3,23,30,-29.5,868,76.44,0.5,253
2013,1,4,0,30,-29.5,868,74.18,0.4,260
2013,1,4,1,30,-28.3,868,64.99,0.5,284
2013,1,4,2,30,-26.1,868,56.77,0.7000000000000001,300
2013,1,4,3,30,-23.5,868,55.27,1.4000000000000001,304
2013,1,4,4,30,-21.6,868,55.36,2.3000000000000003,308
2013,1,4,5,30,-20.400000000000002,868,56.34,2.8000000000000003,314
2013,1,4,6,30,-20.200000000000003,868,58.08,2.9000000000000004,319
2013,1,4,7,30,-21.400000000000002,868,65.3,2.3000000000000003,322
2013,1,4,8,30,-23.900000000000002,868,71.14,1.7000000000000002,327
2013,1,4,9,30,-25.700000000000003,869,68,1.6,333
2013,1,4,10,30,-26.3,869,67.29,1.6,339
2013,1,4,11,30,-26.400000000000002,869,67.84,1.6,344
2013,1,4,12,30,-26.200000000000003,869,68.93,1.6,349
2013,1,4,13,30,-26,869,71.23,1.6,354
2013,1,4,14,30,-25.8,869,75.33,1.6,358
2013,1,4,15,30,-25.6,869,79.60000000000001,1.6,359
2013,1,4,16,30,-25.5,869,83.94,1.6,359
2013,1,4,17,30,-25.5,869,87.51,1.5,357
2013,1,4,18,30,-25.400000000000002,869,86.59,1.5,354
2013,1,4,19,30,-25.5,869,84.14,1.5,353
2013,1,4,20,30,-25.700000000000003,869,82.33,1.6,177
2013,1,4,21,30,-25.8,869,79.98,1.6,6
2013,1,4,22,30,-25.6,869,76.45,1.6,15
2013,1,4,23,30,-25.5,869,76.60000000000001,1.6,19
2013,1,5,0,30,-24.3,869,70.98,1.5,21
2013,1,5,1,30,-22.6,869,65.12,1.6,15
2013,1,5,2,30,-20.400000000000002,869,63.17,1.8,179
2013,1,5,3,30,-18.5,869,63.36,2.2,341
2013,1,5,4,30,-17.2,869,65.16,2.5,330
2013,1,5,5,30,-16.7,868,66.26,2.6,326
2013,1,5,6,30,-16.900000000000002,868,68.52,2.6,328
2013,1,5,7,30,-18.1,868,74.45,2,331
2013,1,5,8,30,-20.3,868,81.09,1.4000000000000001,336
2013,1,5,9,30,-22.200000000000003,868,80.08,1.3,343
2013,1,5,10,30,-22.900000000000002,868,78.26,1.3,350
2013,1,5,11,30,-23.1,868,77.10000000000001,1.2000000000000002,177
2013,1,5,12,30,-23,868,75.31,1,4
2013,1,5,13,30,-22.900000000000002,867,74.22,0.7000000000000001,11
2013,1,5,14,30,-22.900000000000002,867,73.92,0.4,9
2013,1,5,15,30,-23,867,73.68,0.2,160
2013,1,5,16,30,-23.3,866,74.36,0.2,284
2013,1,5,17,30,-23.700000000000003,866,74.73,0.2,234
2013,1,5,18,30,-24.1,866,74.4,0.2,200
2013,1,5,19,30,-24.400000000000002,866,73.60000000000001,0.1,152
2013,1,5,20,30,-24.6,865,72.81,0.2,102
2013,1,5,21,30,-24.700000000000003,865,72.58,0.30000000000000004,80
2013,1,5,22,30,-24.900000000000002,864,73.14,0.4,75
2013,1,5,23,30,-24.900000000000002,864,72.99,0.5,74
2013,1,6,0,30,-24.5,864,71.18,0.4,57
2013,1,6,1,30,-23.200000000000003,864,65.76,0.4,200
2013,1,6,2,30,-21.1,864,62.33,0.8,342
2013,1,6,3,30,-19.1,864,61.67,1.5,322
2013,1,6,4,30,-17.8,863,61.81,2.3000000000000003,322
2013,1,6,5,30,-17.2,863,62.97,2.9000000000000004,329
2013,1,6,6,30,-17.5,863,65.81,3.3000000000000003,335
2013,1,6,7,30,-18.8,863,71.61,3,340
2013,1,6,8,30,-21.5,863,80.01,2.4000000000000004,345
2013,1,6,9,30,-23.900000000000002,863,77.32000000000001,2.2,349
2013,1,6,10,30,-25,864,74.63,2.4000000000000004,354
2013,1,6,11,30,-25.200000000000003,864,71.58,2.6,179
2013,1,6,12,30,-24.8,864,68.56,2.6,2
2013,1,6,13,30,-25,864,70.12,2.5,3
2013,1,6,14,30,-25.700000000000003,865,72.11,2.3000000000000003,181
2013,1,6,15,30,-26.5,865,73.83,2.3000000000000003,358
2013,1,6,16,30,-27,865,74.4,2.4000000000000004,355
2013,1,6,17,30,-27.5,865,74.55,2.5,353
2013,1,6,18,30,-28,866,73.65,2.5,353
2013,1,6,19,30,-28.6,866,73.05,2.5,352
2013,1,6,20,30,-29.200000000000003,866,72.59,2.5,352
2013,1,6,21,30,-29.6,866,72.08,2.4000000000000004,352
2013,1,6,22,30,-29.900000000000002,866,72.25,2.4000000000000004,351
2013,1,6,23,30,-30,866,71.59,2.3000000000000003,350
2013,1,7,0,30,-29.8,867,69.9,2.3000000000000003,347
2013,1,7,1,30,-28.1,867,60.97,2.3000000000000003,347
2013,1,7,2,30,-25.200000000000003,868,53.72,2.8000000000000003,346
2013,1,7,3,30,-22.8,868,55.63,3.5,343
2013,1,7,4,30,-21.700000000000003,868,56.93,3.9000000000000004,339
2013,1,7,5,30,-21.3,868,58.45,4.1000000000000005,334
2013,1,7,6,30,-21.5,868,60.9,4.2,331
2013,1,7,7,30,-22.200000000000003,868,63.870000000000005,3.9000000000000004,329
2013,1,7,8,30,-23.400000000000002,868,68.06,3.1,329
2013,1,7,9,30,-24.900000000000002,868,70.06,2.4000000000000004,328
2013,1,7,10,30,-26.200000000000003,869,69.55,2.2,327
2013,1,7,11,30,-26.900000000000002,869,69.64,2.1,324
2013,1,7,12,30,-27.1,869,71.33,2,321
2013,1,7,13,30,-27.200000000000003,869,73.04,2.1,318
2013,1,7,14,30,-27.3,869,74.35000000000001,2.1,317
2013,1,7,15,30,-27.5,869,74.26,2.2,316
2013,1,7,16,30,-27.700000000000003,869,72.83,2.2,316
2013,1,7,17,30,-27.900000000000002,869,70.75,2.1,317
2013,1,7,18,30,-28.1,869,69.05,2.1,318
2013,1,7,19,30,-28.3,869,68.84,2.1,317
2013,1,7,20,30,-28.3,869,68.22,2,315
2013,1,7,21,30,-28.3,869,68.24,1.9000000000000001,312
2013,1,7,22,30,-28.200000000000003,870,68.18,1.9000000000000001,308
2013,1,7,23,30,-28.200000000000003,870,69.09,1.8,306
2013,1,8,0,30,-27.900000000000002,870,67.09,1.7000000000000002,297
2013,1,8,1,30,-26.6,870,60.56,1.8,292
2013,1,8,2,30,-24.700000000000003,870,60.11,2.3000000000000003,289
2013,1,8,3,30,-22.900000000000002,869,59.86,2.8000000000000003,290
2013,1,8,4,30,-21.3,869,61.160000000000004,3.3000000000000003,294
2013,1,8,5,30,-20.5,869,65.21000000000001,3.4000000000000004,296
2013,1,8,6,30,-20.6,869,67.9,3.2,296
2013,1,8,7,30,-21.3,869,70.92,2.6,294
2013,1,8,8,30,-22.6,869,73.52,1.9000000000000001,291
2013,1,8,9,30,-23.8,869,71.61,1.6,285
2013,1,8,10,30,-24.5,869,70.92,1.4000000000000001,281
2013,1,8,11,30,-25,869,71.01,1.4000000000000001,279
2013,1,8,12,30,-25.200000000000003,869,70.94,1.2000000000000002,277
2013,1,8,13,30,-25.400000000000002,868,71.14,1.1,273
2013,1,8,14,30,-25.700000000000003,868,72.35000000000001,0.9,263
2013,1,8,15,30,-26,868,72.76,0.9,253
2013,1,8,16,30,-26.200000000000003,867,71.74,1,245
2013,1,8,17,30,-26.400000000000002,867,71.10000000000001,1,236
2013,1,8,18,30,-26.5,867,70.63,1.1,229
2013,1,8,19,30,-26.6,866,70.43,1,222
2013,1,8,20,30,-26.5,866,70.11,1,215
2013,1,8,21,30,-26.400000000000002,865,70.23,0.9,205
2013,1,8,22,30,-26.200000000000003,865,70.11,0.9,195
2013,1,8,23,30,-26.1,865,70.9,0.9,190
2013,1,9,0,30,-25.5,864,68.16,1.1,190
2013,1,9,1,30,-23.700000000000003,864,61.71,1.4000000000000001,192
2013,1,9,2,30,-21.200000000000003,864,60.77,1.9000000000000001,194
2013,1,9,3,30,-19,863,60.92,2.2,202
2013,1,9,4,30,-17.2,862,59.93,2.2,215
2013,1,9,5,30,-16.1,862,60.58,2.3000000000000003,225
2013,1,9,6,30,-15.8,862,62.29,2,228
2013,1,9,7,30,-17.3,862,72.21000000000001,1.3,223
2013,1,9,8,30,-20,862,78.10000000000001,1.1,218
2013,1,9,9,30,-22.1,862,79.99,1.4000000000000001,215
2013,1,9,10,30,-23.1,862,82.33,1.5,215
2013,1,9,11,30,-23.700000000000003,862,84.56,1.5,217
2013,1,9,12,30,-23.900000000000002,862,85.45,1.5,219
2013,1,9,13,30,-23.700000000000003,861,84.79,1.4000000000000001,222
2013,1,9,14,30,-23.200000000000003,861,82.18,1.1,223
2013,1,9,15,30,-22.6,861,78.54,0.9,223
2013,1,9,16,30,-22.200000000000003,861,76.24,0.6000000000000001,222
2013,1,9,17,30,-21.8,861,73.69,0.30000000000000004,228
2013,1,9,18,30,-21.400000000000002,861,71.49,0.2,133
2013,1,9,19,30,-21,861,69.65,0.5,32
2013,1,9,20,30,-20.8,860,69.2,0.7000000000000001,32
2013,1,9,21,30,-20.8,860,69.77,1,25
2013,1,9,22,30,-21.400000000000002,861,73.17,1.2000000000000002,15
2013,1,9,23,30,-21.700000000000003,861,72.60000000000001,1.3,10
2013,1,10,0,30,-22.6,861,74.93,1.6,3
2013,1,10,1,30,-21.400000000000002,862,65.99,1.8,1
2013,1,10,2,30,-19.3,862,62.76,2.4000000000000004,178
2013,1,10,3,30,-17.5,862,61.980000000000004,2.8000000000000003,354
2013,1,10,4,30,-16.3,862,63.78,3.1,348
2013,1,10,5,30,-15.700000000000001,862,64.89,3.3000000000000003,345
2013,1,10,6,30,-15.8,862,66.72,3.5,344
2013,1,10,7,30,-16.6,863,71.24,3.3000000000000003,343
2013,1,10,8,30,-17.900000000000002,863,75.85000000000001,2.8000000000000003,342
2013,1,10,9,30,-19.1,864,75.78,2.4000000000000004,339
2013,1,10,10,30,-19.900000000000002,864,74.08,2.3000000000000003,338
2013,1,10,11,30,-20.6,865,73.11,2,337
2013,1,10,12,30,-21.3,865,72.26,1.8,331
2013,1,10,13,30,-21.900000000000002,864,72.29,1.6,323
2013,1,10,14,30,-22.6,864,73.95,1.4000000000000001,314
2013,1,10,15,30,-23.200000000000003,864,75.57000000000001,1.2000000000000002,303
2013,1,10,16,30,-23.6,864,75.7,1.1,288
2013,1,10,17,30,-23.8,864,73.4,1,267
2013,1,10,18,30,-24.200000000000003,864,72.72,1,244
2013,1,10,19,30,-24.400000000000002,863,71.49,1.2000000000000002,227
2013,1,10,20,30,-24.400000000000002,863,70.46000000000001,1.4000000000000001,214
2013,1,10,21,30,-24.400000000000002,862,70.77,1.8,203
2013,1,10,22,30,-24.3,862,70.53,2.1,195
2013,1,10,23,30,-24.3,862,70.45,2.3000000000000003,193
2013,1,11,0,30,-23.6,861,66.5,2.7,195
2013,1,11,1,30,-21.900000000000002,860,62.26,3.1,200
2013,1,11,2,30,-19.8,860,62.4,3.3000000000000003,211
2013,1,11,3,30,-18,859,61.92,3.3000000000000003,230
2013,1,11,4,30,-16.900000000000002,858,61.800000000000004,3.3000000000000003,254
2013,1,11,5,30,-16.400000000000002,858,62.660000000000004,3.4000000000000004,278
2013,1,11,6,30,-16.2,858,64.18,3.5,300
2013,1,11,7,30,-17.2,858,71.14,2.8000000000000003,315
2013,1,11,8,30,-19.400000000000002,859,79.56,1.9000000000000001,325
2013,1,11,9,30,-21.5,859,78.28,1.7000000000000002,332
2013,1,11,10,30,-22.700000000000003,860,79.51,1.7000000000000002,337
2013,1,11,11,30,-23.400000000000002,860,80.76,1.7000000000000002,340
2013,1,11,12,30,-23.8,860,82.69,1.6,344
2013,1,11,13,30,-23.6,860,81.44,1.5,347
2013,1,11,14,30,-23.3,861,80.01,1.2000000000000002,353
2013,1,11,15,30,-23,861,78.14,0.9,186
2013,1,11,16,30,-22.8,861,76.92,0.5,48
2013,1,11,17,30,-22.8,861,75.12,0.4,120
2013,1,11,18,30,-23.1,861,74.87,0.7000000000000001,174
2013,1,11,19,30,-23.700000000000003,861,76.51,1.2000000000000002,190
2013,1,11,20,30,-24.3,861,78.9,1.5,195
2013,1,11,21,30,-24.900000000000002,861,82.58,1.6,195
2013,1,11,22,30,-25.400000000000002,861,85.24,1.8,194
2013,1,11,23,30,-25.700000000000003,861,86.16,1.9000000000000001,194
2013,1,12,0,30,-24.8,861,78.36,2.3000000000000003,193
2013,1,12,1,30,-22.400000000000002,861,65.65,2.9000000000000004,195
2013,1,12,2,30,-19.900000000000002,860,64.96000000000001,3.2,200
2013,1,12,3,30,-18,860,65.53,3.2,212
2013,1,12,4,30,-16.5,860,67.23,3.2,230
2013,1,12,5,30,-15.700000000000001,859,70.8,3.2,242
2013,1,12,6,30,-15.5,859,73,3,243
2013,1,12,7,30,-15.9,859,76.36,2.3000000000000003,238
2013,1,12,8,30,-17.3,859,82.79,1.5,227
2013,1,12,9,30,-18.7,859,81.47,1.4000000000000001,221
2013,1,12,10,30,-19.200000000000003,859,79.31,1.6,222
2013,1,12,11,30,-19.1,859,78.76,1.7000000000000002,226
2013,1,12,12,30,-18.8,859,79.88,1.7000000000000002,230
2013,1,12,13,30,-18.6,859,82.55,1.7000000000000002,236
2013,1,12,14,30,-18.6,859,83.47,1.6,241
2013,1,12,15,30,-18.900000000000002,858,82.76,1.6,245
2013,1,12,16,30,-19.5,858,81.92,1.5,246
2013,1,12,17,30,-20.200000000000003,859,80.39,1.5,248
2013,1,12,18,30,-20.8,859,77.93,1.5,254
2013,1,12,19,30,-21.200000000000003,859,75.62,1.5,265
2013,1,12,20,30,-21.5,859,74.53,1.4000000000000001,275
2013,1,12,21,30,-21.5,860,73.49,1.1,286
2013,1,12,22,30,-21.3,860,72.96000000000001,0.9,300
2013,1,12,23,30,-21.1,861,74.02,0.8,308
2013,1,13,0,30,-20.5,861,72.08,0.5,314
2013,1,13,1,30,-19.200000000000003,862,67.11,0.5,299
2013,1,13,2,30,-17.2,862,66.05,0.7000000000000001,274
2013,1,13,3,30,-15.5,862,66.59,1,258
2013,1,13,4,30,-13.9,862,66.39,1.5,262
2013,1,13,5,30,-12.700000000000001,862,66.17,2,270
2013,1,13,6,30,-12.4,863,66.69,1.7000000000000002,276
2013,1,13,7,30,-13.5,863,74.28,0.9,269
2013,1,13,8,30,-15.3,863,77.26,0.4,238
2013,1,13,9,30,-16.3,863,75.28,0.4,197
2013,1,13,10,30,-16.6,863,73.60000000000001,0.6000000000000001,170
2013,1,13,11,30,-16.8,863,74.17,1,160
2013,1,13,12,30,-17,863,75.34,1.5,156
2013,1,13,13,30,-17.1,863,76.18,1.8,155
2013,1,13,14,30,-16.900000000000002,862,76.83,2,152
2013,1,13,15,30,-16.400000000000002,862,76.93,2.3000000000000003,146
2013,1,13,16,30,-15.600000000000001,862,76.16,2.6,140
2013,1,13,17,30,-15,862,76.52,2.8000000000000003,136
2013,1,13,18,30,-14.9,861,77.13,2.7,133
2013,1,13,19,30,-15.100000000000001,861,77.42,2.5,135
2013,1,13,20,30,-15.700000000000001,861,79.11,2.2,137
2013,1,13,21,30,-16.8,861,81.71000000000001,1.8,139
2013,1,13,22,30,-17.8,861,80.99,1.5,140
2013,1,13,23,30,-18,861,79.88,1.3,141
2013,1,14,0,30,-16.8,862,75.35000000000001,0.7000000000000001,201
2013,1,14,1,30,-15.8,862,71.84,0.8,268
2013,1,14,2,30,-14.5,862,68.43,1.8,300
2013,1,14,3,30,-13.3,862,69.39,2.9000000000000004,319
2013,1,14,4,30,-12.8,862,69.75,3.8000000000000003,329
2013,1,14,5,30,-12.9,862,71.87,4.4,336
2013,1,14,6,30,-13.5,863,73.01,4.7,342
2013,1,14,7,30,-14.700000000000001,863,75.52,4.3,346
2013,1,14,8,30,-16.6,864,80.18,3.4000000000000004,348
2013,1,14,9,30,-18.6,864,80.45,2.8000000000000003,351
2013,1,14,10,30,-19.8,865,79.32000000000001,2.5,354
2013,1,14,11,30,-20.5,865,78.22,2.3000000000000003,357
2013,1,14,12,30,-20.900000000000002,865,76.7,2.1,180
2013,1,14,13,30,-21.200000000000003,866,75.56,2,1
2013,1,14,14,30,-21.400000000000002,866,74.45,2,1
2013,1,14,15,30,-21.6,866,74.02,1.9000000000000001,180
2013,1,14,16,30,-21.700000000000003,866,73.64,1.9000000000000001,359
2013,1,14,17,30,-21.8,866,73.76,1.8,359
2013,1,14,18,30,-21.900000000000002,867,74.02,1.8,359
2013,1,14,19,30,-22,867,74.02,1.8,359
2013,1,14,20,30,-22,867,73.35000000000001,1.8,181
2013,1,14,21,30,-22.1,867,73.5,1.8,6
2013,1,14,22,30,-22,867,72.95,1.7000000000000002,11
2013,1,14,23,30,-22,867,73.55,1.6,15
2013,1,15,0,30,-21.3,868,70.25,1.5,23
2013,1,15,1,30,-19.8,868,65.16,1.3,24
2013,1,15,2,30,-17.8,868,63.79,1.2000000000000002,190
2013,1,15,3,30,-15.700000000000001,868,61.51,1.5,342
2013,1,15,4,30,-14.100000000000001,868,62.14,1.9000000000000001,319
2013,1,15,5,30,-13.4,868,63.49,2.3000000000000003,311
2013,1,15,6,30,-13.4,868,66.08,2.3000000000000003,309
2013,1,15,7,30,-14.3,869,72.07000000000001,1.7000000000000002,308
2013,1,15,8,30,-16.2,869,80.31,1.2000000000000002,307
2013,1,15,9,30,-17.8,870,80.60000000000001,1.2000000000000002,306
2013,1,15,10,30,-18.5,870,81.81,1.2000000000000002,303
2013,1,15,11,30,-18.7,870,81.75,1.1,297
2013,1,15,12,30,-18.8,871,80.88,0.9,285
2013,1,15,13,30,-19,871,80.13,0.9,271
2013,1,15,14,30,-19.200000000000003,871,79.53,0.8,258
2013,1,15,15,30,-19.6,871,79.98,0.9,249
2013,1,15,16,30,-19.900000000000002,871,78.85000000000001,0.9,241
2013,1,15,17,30,-20.3,872,77.49,1,234
2013,1,15,18,30,-20.8,872,76.26,1,228
2013,1,15,19,30,-21.400000000000002,872,75.68,0.9,223
2013,1,15,20,30,-21.900000000000002,872,74.84,0.9,222
2013,1,15,21,30,-22.400000000000002,872,74.42,0.8,224
2013,1,15,22,30,-23,872,74.19,0.8,223
2013,1,15,23,30,-23.200000000000003,872,71.85000000000001,0.8,221
2013,1,16,0,30,-23.1,873,69.02,0.8,210
2013,1,16,1,30,-21.400000000000002,873,62.49,1.2000000000000002,196
2013,1,16,2,30,-18.900000000000002,873,62.24,1.8,189
2013,1,16,3,30,-16.6,872,62.660000000000004,2.3000000000000003,195
2013,1,16,4,30,-14.600000000000001,872,63.120000000000005,2.7,205
2013,1,16,5,30,-13.100000000000001,872,62.4,3,208
2013,1,16,6,30,-12.5,872,63.53,2.7,203
2013,1,16,7,30,-13.8,872,73.61,2,194
2013,1,16,8,30,-16.8,872,83,1.8,190
2013,1,16,9,30,-19.1,872,86.3,2.1,192
2013,1,16,10,30,-20.1,872,90.69,2.3000000000000003,191
2013,1,16,11,30,-20.6,872,92.22,2.4000000000000004,187
2013,1,16,12,30,-20.700000000000003,871,90.24,2.4000000000000004,181
2013,1,16,13,30,-20.200000000000003,871,83.68,2.6,172
2013,1,16,14,30,-19.8,871,78.23,2.9000000000000004,165
2013,1,16,15,30,-20,870,75.87,3.1,161
2013,1,16,16,30,-20.5,870,75.13,3.2,161
2013,1,16,17,30,-20.900000000000002,870,74.74,3.3000000000000003,162
2013,1,16,18,30,-21.3,870,75.07000000000001,3.4000000000000004,165
2013,1,16,19,30,-21.5,870,74.34,3.3000000000000003,166
2013,1,16,20,30,-21.6,869,73.47,3.1,167
2013,1,16,21,30,-21.6,868,72.61,3,166
2013,1,16,22,30,-21.6,868,72.24,2.9000000000000004,166
2013,1,16,23,30,-21.6,868,71.51,2.8000000000000003,166
2013,1,17,0,30,-21.200000000000003,868,66.95,2.5,172
2013,1,17,1,30,-19.900000000000002,868,61.81,2.5,183
2013,1,17,2,30,-17.900000000000002,867,57.49,2.4000000000000004,199
2013,1,17,3,30,-15.9,867,58.300000000000004,2.2,213
2013,1,17,4,30,-14.100000000000001,867,59.02,2.2,229
2013,1,17,5,30,-12.700000000000001,867,59.730000000000004,2.3000000000000003,250
2013,1,17,6,30,-12.100000000000001,867,62.03,2.2,268
2013,1,17,7,30,-13.4,867,72.68,1.8,283
2013,1,17,8,30,-16,868,79.56,1.6,298
2013,1,17,9,30,-18.1,868,80.22,1.8,310
2013,1,17,10,30,-19,868,83.41,1.8,321
2013,1,17,11,30,-19.700000000000003,868,88.46000000000001,1.8,331
2013,1,17,12,30,-19.8,868,88.61,1.8,340
2013,1,17,13,30,-19.1,868,84.16,1.8,349
2013,1,17,14,30,-18.3,868,82.15,1.7000000000000002,177
2013,1,17,15,30,-18,868,84.21000000000001,1.6,4
2013,1,17,16,30,-18.3,868,87.22,1.6,12
2013,1,17,17,30,-18.7,868,87.88,1.5,19
2013,1,17,18,30,-18.8,868,87.26,1.3,22
2013,1,17,19,30,-18.5,868,84.55,1.2000000000000002,20
2013,1,17,20,30,-18.3,867,81.14,1,16
2013,1,17,21,30,-18.2,867,77.54,0.9,11
2013,1,17,22,30,-18.2,867,74.51,0.8,13
2013,1,17,23,30,-18.1,868,72.3,0.8,18
2013,1,18,0,30,-16.8,868,65.18,0.5,48
2013,1,18,1,30,-15,868,58.88,0.4,128
2013,1,18,2,30,-12.8,868,58.06,0.9,198
2013,1,18,3,30,-11.200000000000001,868,62.050000000000004,1.6,211
2013,1,18,4,30,-10.3,867,64.93,2.2,219
2013,1,18,5,30,-10.100000000000001,867,69.29,2.3000000000000003,220
2013,1,18,6,30,-10.600000000000001,867,73.28,2.1,218
2013,1,18,7,30,-12,867,80.09,1.4000000000000001,219
2013,1,18,8,30,-14.3,867,86.33,1,219
2013,1,18,9,30,-15.9,867,86.15,1,213
2013,1,18,10,30,-16.7,866,86.46000000000001,1,209
2013,1,18,11,30,-17,866,85.32000000000001,1,212
2013,1,18,12,30,-17.2,866,84.10000000000001,1,219
2013,1,18,13,30,-17.2,866,82.06,0.9,225
2013,1,18,14,30,-17.1,866,80.84,0.7000000000000001,236
2013,1,18,15,30,-17.1,866,80.84,0.4,259
